City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Lasa,IT,2022-05-20 22:50:07,46.6166,10.7002,63.36,86,100,2.57
104,Narnaund,IN,2022-05-20 22:50:07,29.2167,76.15,94.08,16,80,5.12
105,San Patricio,US,2022-05-20 22:50:07,28.017,-97.5169,84.29,62,58,25.34
106,Villa Bruzual,VE,2022-05-20 22:50:08,9.3328,-69.1208,82.08,57,99,4.36
107,Pueblo,US,2022-05-20 22:45:54,38.2545,-104.6091,48.15,61,100,17.27
108,Saint-Philippe,RE,2022-05-20 22:41:33,-21.3585,55.7679,71.19,83,39,11.5
109,Beyla,GN,2022-05-20 22:50:08,8.6833,-8.6333,70.36,95,98,4.14
110,Acapulco,MX,2022-05-20 22:45:53,16.8634,-99.8901,84.09,56,90,12.97
111,Santa Luzia,BR,2022-05-20 22:50:09,-19.7697,-43.8514,63.68,48,0,6.91
112,Biu,NG,2022-05-20 22:50:09,10.6129,12.1946,82.53,41,68,4.88
113,Bereda,ES,2022-05-20 22:50:09,43.2686,-7.5406,58.57,99,89,4.94
114,Avera,US,2022-05-20 22:50:09,33.194,-82.5271,91.54,36,97,7.23
115,Ginda,IN,2022-05-20 22:50:10,30.6945,78.4932,63.09,28,38,6.26
116,Pevek,RU,2022-05-20 22:50:10,69.7008,170.3133,33.48,96,79,4.79
117,Dikson,RU,2022-05-20 22:50:10,73.5069,80.5464,26.98,89,100,6.33
118,Norman Wells,CA,2022-05-20 22:40:28,65.282,-126.8329,60.84,31,75,5.75
119,Nikolskoye,RU,2022-05-20 22:50:11,59.7035,30.7861,42.69,72,98,6.44
120,Punta Arenas,CL,2022-05-20 22:50:02,-53.15,-70.9167,42.91,87,100,8.05
121,Vardo,NO,2022-05-20 22:50:11,70.3705,31.1107,37.38,75,100,24.16
122,Lakatoro,VU,2022-05-20 22:50:11,-16.0999,167.4164,82.78,76,8,7.27
123,Biloela,AU,2022-05-20 22:50:12,-24.4167,150.5,61.29,92,100,13.18
124,Selma,US,2022-05-20 22:50:12,36.5708,-119.6121,83.08,8,7,10.33
125,Los Llanos De Aridane,ES,2022-05-20 22:41:34,28.6585,-17.9182,65.95,93,20,13.8
126,Ola,RU,2022-05-20 22:50:12,59.5833,151.2833,39.15,97,100,18.9
127,Kazachinskoye,RU,2022-05-20 22:42:49,57.6953,93.2761,54.77,62,50,6.58
128,La Ronge,CA,2022-05-20 22:50:13,55.1001,-105.2842,50.25,23,75,17.27
129,Kruisfontein,ZA,2022-05-20 22:40:21,-34.0033,24.7314,53.89,86,99,4.56
130,Wanning,CN,2022-05-20 22:50:13,18.8003,110.3967,76.77,90,100,2.17
131,Atuona,PF,2022-05-20 22:50:13,-9.8,-139.0333,77.72,67,0,10.18
132,Tessalit,ML,2022-05-20 22:50:13,20.1986,1.0114,90.07,17,81,4.83
133,Townsville,AU,2022-05-20 22:50:14,-19.25,146.8,74.28,64,28,11.5
134,Camacha,PT,2022-05-20 22:50:14,33.0833,-16.3333,62.02,77,20,13.8
135,Yellowknife,CA,2022-05-20 22:40:26,62.456,-114.3525,61.32,18,75,12.66
136,Broken Hill,AU,2022-05-20 22:50:14,-31.95,141.4333,53.26,77,100,10.49
137,Springbok,ZA,2022-05-20 22:50:15,-29.6643,17.8865,44.6,80,64,11.41
138,Pisco,PE,2022-05-20 22:50:15,-13.7,-76.2167,68.05,73,0,13.8
139,Bengkulu,ID,2022-05-20 22:50:15,-3.8004,102.2655,75.54,86,79,4.23
140,Whitehorse,CA,2022-05-20 22:50:16,60.7161,-135.0538,58.1,32,75,4.61
141,Saint Anthony,US,2022-05-20 22:50:16,45.0205,-93.218,64.65,50,40,17.27
142,Mount Gambier,AU,2022-05-20 22:50:16,-37.8333,140.7667,40.91,100,12,0.0
143,Gamboma,CG,2022-05-20 22:51:16,-1.8764,15.8644,72.54,96,100,2.13
144,Castro,BR,2022-05-20 22:51:17,-24.7911,-50.0119,45.54,82,0,3.06
145,Puerto Ayora,EC,2022-05-20 22:51:17,-0.7393,-90.3518,76.96,96,52,3.0
146,Otane,NZ,2022-05-20 22:51:17,-39.8833,176.6333,58.01,60,2,21.85
147,Tiksi,RU,2022-05-20 22:50:39,71.6872,128.8694,31.96,85,100,7.02
148,Port Blair,IN,2022-05-20 22:51:18,11.6667,92.75,82.44,83,100,9.22
149,Garissa,KE,2022-05-20 22:51:18,-0.4536,39.6401,75.85,84,97,16.82
150,Savannah Bight,HN,2022-05-20 22:51:18,16.45,-85.85,81.72,85,100,35.81
151,Pacific Grove,US,2022-05-20 22:48:26,36.6177,-121.9166,74.55,61,0,7.0
152,Bardiyah,LY,2022-05-20 22:51:19,31.7561,25.0865,62.53,64,1,6.76
153,Aykhal,RU,2022-05-20 22:51:19,66.0,111.5,36.48,89,99,2.75
154,Sao Filipe,CV,2022-05-20 22:44:08,14.8961,-24.4956,73.74,74,81,9.26
155,Yulara,AU,2022-05-20 22:51:19,-25.2406,130.9889,55.58,60,52,10.02
156,Braunau,CZ,2022-05-20 22:51:19,50.5857,16.3318,64.42,98,79,6.51
157,Saint George,US,2022-05-20 22:51:01,37.1041,-113.5841,74.25,12,0,16.11
158,Carauari,BR,2022-05-20 22:51:20,-4.8828,-66.8958,73.04,86,76,1.68
159,Tucupita,VE,2022-05-20 22:51:20,9.0622,-62.051,79.84,69,3,8.23
160,Coihaique,CL,2022-05-20 22:51:21,-45.5752,-72.0662,49.95,57,100,9.22
161,Maracaju,BR,2022-05-20 22:51:21,-21.6144,-55.1683,55.45,52,0,5.21
162,Shagonar,RU,2022-05-20 22:51:21,51.5333,92.8,51.24,79,25,1.9
163,Grindavik,IS,2022-05-20 22:51:21,63.8424,-22.4338,51.75,87,75,9.22
164,Saldanha,ZA,2022-05-20 22:51:22,-33.0117,17.9442,51.85,72,1,14.63
165,Richards Bay,ZA,2022-05-20 22:41:31,-28.783,32.0377,67.78,88,76,12.15
166,Constitucion,CL,2022-05-20 22:41:30,-35.3333,-72.4167,52.75,85,1,6.91
167,Ribeira Grande,PT,2022-05-20 22:51:22,38.5167,-28.7,63.5,97,100,8.57
168,Krasnozerskoye,RU,2022-05-20 22:51:22,53.9828,79.2374,54.1,73,84,4.38
169,Raudeberg,NO,2022-05-20 22:51:23,61.9875,5.1352,48.87,95,100,2.48
170,Evensk,RU,2022-05-20 22:44:04,61.95,159.2333,43.16,72,73,16.31
171,Jiwani,PK,2022-05-20 22:51:23,25.05,61.7417,83.21,86,2,7.7
172,Eyl,SO,2022-05-20 22:51:23,7.9803,49.8164,81.12,75,44,15.48
173,Chuy,UY,2022-05-20 22:51:09,-33.6971,-53.4616,51.49,78,33,5.88
174,Ciudad Guayana,VE,2022-05-20 22:51:24,8.3533,-62.6528,86.52,67,18,10.58
175,Hachinohe,JP,2022-05-20 22:51:24,40.5,141.5,68.56,43,83,3.31
176,New Norfolk,AU,2022-05-20 22:51:24,-42.7826,147.0587,43.92,88,11,1.79
177,Bagdarin,RU,2022-05-20 22:51:24,54.4333,113.6,53.13,39,84,1.88
178,Pitimbu,BR,2022-05-20 22:51:25,-7.4706,-34.8086,81.19,83,93,6.96
179,Saskylakh,RU,2022-05-20 22:51:25,71.9167,114.0833,31.91,85,100,4.79
180,Samoded,RU,2022-05-20 22:51:25,63.6083,40.5111,30.92,79,99,5.35
181,Martapura,ID,2022-05-20 22:51:26,-3.4167,114.85,75.29,100,40,0.0
182,Makakilo City,US,2022-05-20 22:42:45,21.3469,-158.0858,82.72,79,75,8.05
183,Cidreira,BR,2022-05-20 22:42:46,-30.1811,-50.2056,56.16,77,0,3.62
184,Katsuura,JP,2022-05-20 22:51:26,35.1333,140.3,67.28,77,100,11.18
185,Luderitz,NA,2022-05-20 22:45:18,-26.6481,15.1594,51.46,73,1,10.16
186,Hasaki,JP,2022-05-20 22:51:26,35.7333,140.8333,70.29,72,100,9.57
187,Nanortalik,GL,2022-05-20 22:51:26,60.1432,-45.2371,37.69,84,35,4.74
188,Bathsheba,BB,2022-05-20 22:51:27,13.2167,-59.5167,83.01,74,20,19.57
189,Hazaribag,IN,2022-05-20 22:52:27,23.9833,85.35,82.6,41,45,10.42
190,Kungurtug,RU,2022-05-20 22:52:27,50.5994,97.5228,52.18,87,100,3.62
191,Kodiak,US,2022-05-20 22:52:28,57.79,-152.4072,47.71,76,100,17.27
192,Cabedelo,BR,2022-05-20 22:52:28,-6.9811,-34.8339,81.27,82,79,8.19
193,Stephenville Crossing,CA,2022-05-20 22:52:28,48.5,-58.4318,57.33,28,20,9.22
194,Tocopilla,CL,2022-05-20 22:52:29,-22.092,-70.1979,65.73,69,48,7.27
195,Tasiilaq,GL,2022-05-20 22:52:29,65.6145,-37.6368,33.6,71,14,4.07
196,Kortkeros,RU,2022-05-20 22:52:29,61.8106,51.5806,39.2,70,100,7.49
197,Grants,US,2022-05-20 22:52:29,35.1473,-107.8514,79.03,11,0,24.16
198,Kathmandu,NP,2022-05-20 22:49:38,27.7167,85.3167,62.82,94,20,3.44
199,Lebu,CL,2022-05-20 22:48:10,-37.6167,-73.65,51.75,90,30,6.49
200,Khash,IR,2022-05-20 22:52:30,28.2211,61.2158,73.56,19,0,5.26
201,Hamilton,US,2022-05-20 22:52:30,39.1834,-84.5333,87.01,56,0,18.41
202,Chakrata,IN,2022-05-20 22:52:30,30.7,77.85,62.74,26,74,5.97
203,Tubalan,PH,2022-05-20 22:52:31,6.495,125.5661,81.45,79,100,0.94
204,Hambantota,LK,2022-05-20 22:52:31,6.1241,81.1185,78.78,85,69,15.05
205,Dakar,SN,2022-05-20 22:48:55,14.6937,-17.4441,73.53,88,20,18.41
206,Sassandra,CI,2022-05-20 22:52:31,4.95,-6.0833,77.0,90,100,6.62
207,Labuhan,ID,2022-05-20 22:52:32,-6.8844,112.2051,77.13,88,100,7.27
208,Cherskiy,RU,2022-05-20 22:52:32,68.75,161.3,54.07,43,8,15.79
209,San Andres,CO,2022-05-20 22:46:22,12.5847,-81.7006,82.45,73,98,7.0
210,Port Keats,AU,2022-05-20 22:52:32,-14.25,129.55,77.16,53,5,10.36
211,Palana,RU,2022-05-20 22:52:32,59.1167,159.9667,39.51,74,74,7.31
212,Srednekolymsk,RU,2022-05-20 22:52:33,67.45,153.6833,56.01,42,67,9.73
213,Clyde River,CA,2022-05-20 22:52:33,70.4692,-68.5914,25.03,80,100,8.05
214,Provideniya,RU,2022-05-20 22:52:33,64.3833,-173.3,48.18,56,33,10.51
215,Meulaboh,ID,2022-05-20 22:46:24,4.1363,96.1285,76.6,90,95,4.7
216,Hibbing,US,2022-05-20 22:52:34,47.4272,-92.9377,53.56,58,100,16.11
217,Boende,CD,2022-05-20 22:52:34,-0.2167,20.8667,70.75,99,100,1.25
218,Lanzhou,CN,2022-05-20 22:52:34,36.0564,103.7922,62.85,59,100,2.08
219,Raton,US,2022-05-20 22:52:34,36.9034,-104.4391,72.05,25,0,11.5
220,Paita,PE,2022-05-20 22:52:35,-5.0892,-81.1144,68.11,78,34,15.82
221,Solnechnyy,RU,2022-05-20 22:52:35,50.7214,136.6319,44.58,98,100,2.8
222,Guerrero Negro,MX,2022-05-20 22:52:35,27.9769,-114.0611,70.16,57,0,17.02
223,Khatanga,RU,2022-05-20 22:52:35,71.9667,102.5,34.99,80,100,10.49
224,Purranque,CL,2022-05-20 22:52:36,-40.9167,-73.1667,52.93,92,100,5.53
225,Brzeg Dolny,PL,2022-05-20 22:52:36,51.273,16.7082,67.01,89,83,7.14
226,Touros,BR,2022-05-20 22:42:45,-5.1989,-35.4608,78.84,83,64,7.11
227,Lorengau,PG,2022-05-20 22:52:36,-2.0226,147.2712,82.89,78,94,9.98
228,Mantua,IT,2022-05-20 22:52:37,45.1667,10.7833,76.15,78,49,2.59
229,Nyurba,RU,2022-05-20 22:52:37,63.2842,118.3319,51.75,70,79,3.62
230,Wallaceburg,CA,2022-05-20 22:52:37,42.593,-82.3885,84.06,73,100,21.18
231,Oktyabrskoye,RU,2022-05-20 22:44:05,43.0645,44.7417,39.34,100,76,4.47
232,Quatre Cocos,MU,2022-05-20 22:52:38,-20.2078,57.7625,75.09,68,74,15.21
233,Termiz,UZ,2022-05-20 22:52:38,37.2242,67.2783,68.09,52,20,4.61
234,Dunedin,NZ,2022-05-20 22:43:57,-45.8742,170.5036,50.81,61,74,18.99
235,Faanui,PF,2022-05-20 22:53:38,-16.4833,-151.75,80.37,71,19,7.92
236,Kahului,US,2022-05-20 22:53:39,20.8947,-156.47,87.82,51,20,13.8
237,Tura,IN,2022-05-20 22:53:39,25.5198,90.2201,70.7,97,85,3.36
238,Bac Lieu,VN,2022-05-20 22:53:39,9.285,105.7244,80.37,85,95,5.68
239,Brae,GB,2022-05-20 22:53:39,60.3964,-1.353,48.88,93,98,6.17
240,Gazimurskiy Zavod,RU,2022-05-20 22:53:40,51.5461,118.3266,55.65,38,32,5.48
241,Kipushi,CD,2022-05-20 22:53:40,-11.7667,27.2333,60.08,75,41,1.41
242,Farafangana,MG,2022-05-20 22:53:40,-22.8167,47.8333,68.92,78,48,4.0
243,Morros,BR,2022-05-20 22:53:40,-9.4467,-46.3003,72.36,45,20,5.21
244,Mount Isa,AU,2022-05-20 22:53:41,-20.7333,139.5,67.77,64,0,6.91
245,Fort Abbas,PK,2022-05-20 22:53:41,29.1925,72.8536,88.74,29,0,19.06
246,Taga,RO,2022-05-20 22:53:41,46.95,24.05,54.32,81,18,2.1
247,Kuytun,RU,2022-05-20 22:53:42,54.3419,101.5036,55.27,75,100,9.73
248,Yuci,CN,2022-05-20 22:53:42,37.6803,112.7319,55.15,71,0,0.0
249,Iqaluit,CA,2022-05-20 22:43:54,63.7506,-68.5145,29.93,86,75,9.22
250,Kununurra,AU,2022-05-20 22:53:42,-15.7667,128.7333,73.38,56,1,2.3
251,Ahraura,IN,2022-05-20 22:53:43,25.0167,83.0167,83.86,67,2,6.2
252,Bambous Virieux,MU,2022-05-20 22:53:43,-20.3428,57.7575,75.22,83,40,6.91
253,Arilje,RS,2022-05-20 22:53:43,43.7531,20.0956,46.76,45,19,4.74
254,Lima,PE,2022-05-20 22:53:25,-12.0432,-77.0282,62.85,29,40,8.05
